,City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed (mph)
193,padang,-0.9492,100.3543,78.85,67,56,1.1
194,kampong cham,11.9934,105.4635,86.83,60,43,9.82
195,samarai,-10.6167,150.6667,85.33,68,98,13.53
196,kigoma,-4.8769,29.6267,72.75,81,100,4.7
197,arraial do cabo,-22.9661,-42.0278,76.71,82,92,13.22
198,babu,24.4167,111.5167,81.36,55,0,4.74
199,dzilam gonzalez,21.2833,-88.9333,79.41,62,4,11.83
200,khandyga,62.6667,135.6,27.86,80,40,2.62
201,carnarvon,-24.8667,113.6333,69.87,52,0,17.27
202,wschowa,51.807,16.3166,33.46,85,10,3.47
203,baft,29.234,56.6057,53.13,16,0,4.94
204,ketchikan,55.3422,-131.6461,35.58,88,100,7.18
205,komsomolskiy,40.4272,71.7189,66.92,55,100,4.61
206,kavaratti,10.5669,72.642,84.24,67,100,6.33
207,halifax,44.6453,-63.5724,43.29,69,37,4.61
208,cidreira,-30.1811,-50.2056,68.94,94,74,9.4
209,leningradskiy,69.3833,178.4167,-2.54,81,14,3.85
210,shihezi,44.3,86.0333,52.47,21,100,10.2
211,mujiayingzi,42.1167,118.7833,45.57,23,3,13.2
212,kaitangata,-46.2817,169.8464,54.77,61,90,10.4
213,olafsvik,64.8945,-23.7142,33.42,80,74,23.69
214,sobolevo,54.4299,31.8996,36.36,75,100,8.95
215,khorixas,-20.3667,14.9667,75.16,32,92,2.91
216,solnechnyy,50.7214,136.6319,29.3,81,100,8.97
217,grand gaube,-20.0064,57.6608,74.37,87,29,3.0
218,smolenka,52.1352,113.4974,33.87,51,22,4.47
219,palana,59.1167,159.9667,17.78,84,100,12.3
220,colares,38.7992,-9.4469,56.12,86,26,15.01
221,klaksvik,62.2266,-6.589,41.92,78,100,25.97
222,provost,52.3501,-110.2683,27.05,60,100,14.7
223,tanout,14.9709,8.8879,80.74,9,1,7.36
224,tual,-5.6667,132.75,83.19,72,100,3.18
225,bethel,41.3712,-73.414,48.63,63,100,3.0
226,biak,-0.9131,122.8766,84.09,60,66,3.42
227,san quintin,30.4833,-115.95,60.24,75,0,14.47
228,evensk,61.95,159.2333,19.53,60,5,10.27
229,seoul,37.5683,126.9778,69.26,67,75,8.05
230,swan hill,-35.3378,143.5544,67.93,31,17,10.04
231,ahipara,-35.1667,173.1667,62.15,88,100,11.56
232,andros,37.8333,24.9333,54.16,61,0,9.13
233,svetlogorsk,52.6333,29.7333,35.04,75,73,10.13
234,kholtoson,50.2981,103.3097,27.99,57,100,4.07
235,barkly west,-28.5354,24.5215,52.88,80,8,5.48
236,suixi,33.8907,116.7747,71.85,62,95,16.13
237,morada nova,-5.1067,-38.3725,72.95,98,83,3.74
238,bilibino,68.0546,166.4372,-0.4,69,17,2.44
239,nara,34.6851,135.8049,71.28,42,16,3.02
240,youkounkoun,12.5333,-13.1333,80.24,43,19,8.3
241,kondapalle,16.6167,80.5333,79.65,74,56,5.12
242,araouane,18.9048,-3.5265,80.89,5,32,9.06
243,carutapera,-1.195,-46.02,75.88,94,100,6.67
244,chipata,-13.6333,32.65,61.03,98,83,3.98
245,llanes,43.4198,-4.7549,56.89,83,100,5.84
246,bathsheba,13.2167,-59.5167,79.41,78,75,19.57
247,tautira,-17.7333,-149.15,81.59,74,23,14.88
248,aykhal,66.0,111.5,21.02,81,24,2.37
249,yar-sale,66.8333,70.8333,34.48,100,100,11.5
250,clyde river,70.4692,-68.5914,-9.17,84,0,6.91
251,bengkulu,-3.8004,102.2655,81.39,73,62,1.99
252,byron bay,-28.65,153.6167,77.0,71,40,17.45
253,kentau,43.5206,68.5094,61.07,66,5,13.15
254,krasnoselkup,65.7,82.4667,33.22,100,100,7.34
255,namibe,-15.1961,12.1522,76.8,73,83,10.07
256,pergamino,-33.89,-60.5736,55.18,61,0,6.69
257,yerbogachen,61.2767,108.0108,28.78,83,20,1.48
258,cayenne,4.9333,-52.3333,82.09,1,75,8.05
259,medicine hat,50.0501,-110.6683,33.17,36,75,11.5
260,butaritari,3.0707,172.7902,81.21,74,69,9.66
261,manggar,-2.8833,108.2667,84.4,67,100,1.52
262,ca mau,9.1769,105.15,84.31,67,20,4.12
263,abu samrah,35.3029,37.1841,52.79,69,55,26.84
264,banjar,-8.19,114.9675,86.72,53,87,0.09
265,bosaso,11.2842,49.1816,80.44,60,0,9.55
266,the valley,18.217,-63.0578,76.86,76,4,15.05
267,saint-joseph,-21.3667,55.6167,71.64,85,70,17.27
268,balkanabat,39.5108,54.3671,66.88,48,5,13.91
269,nichinan,31.6,131.3667,65.88,83,51,0.85
270,luderitz,-26.6481,15.1594,67.32,53,0,3.51
271,kidal,18.4411,1.4078,82.71,5,0,10.16
272,huilong,31.8111,121.655,68.74,80,56,9.75
273,nantucket,41.2835,-70.0995,43.25,83,13,18.48
274,vinh,18.6667,105.6667,79.34,75,19,0.92
275,kodiak,57.79,-152.4072,42.76,56,100,0.69
276,tuatapere,-46.1333,167.6833,56.44,53,45,9.46
277,pacific grove,36.6177,-121.9166,49.53,67,1,18.01
278,te anau,-45.4167,167.7167,55.65,61,51,3.42
279,ciudad bolivar,8.1222,-63.5497,84.69,51,47,15.28
280,belyy,55.8402,32.9419,34.32,86,100,5.1
281,mbour,14.422,-16.9638,65.25,79,17,13.71
282,lata,40.1629,-8.3327,51.93,97,100,4.74
283,rincon,32.296,-81.2354,62.38,74,87,6.67
284,east london,-33.0153,27.9116,64.47,93,100,6.98
285,colac,-38.3333,143.5833,56.89,44,48,5.53
286,namatanai,-3.6667,152.4333,85.75,61,25,5.82
287,cabra,37.4725,-4.4421,50.5,90,90,1.97
288,husavik,66.0449,-17.3389,28.24,93,93,6.06
289,agbannawag,15.6792,121.0833,90.01,50,99,2.3
290,progreso,21.2833,-89.6667,87.12,56,4,17.18
291,tucuman,-26.8241,-65.2226,66.2,94,100,3.44
292,ghanzi,-21.5667,21.7833,67.95,65,9,8.21
293,hereford,52.0568,-2.7148,48.11,81,75,3.47
294,puerto escondido,15.85,-97.0667,81.37,76,78,4.61
295,dwarka,22.2394,68.9678,80.04,82,98,9.19
296,laela,-8.5667,32.05,59.09,97,62,4.54
297,nishihara,26.1842,127.7558,78.08,73,40,9.22
298,bata,1.8639,9.7658,76.86,100,40,2.3
299,san cristobal,7.7669,-72.225,73.58,88,94,1.61
300,urbano santos,-3.2078,-43.4036,74.1,98,100,3.09
301,maraa,-1.8333,-65.3667,73.53,98,100,2.89
302,nayoro,44.3506,142.4578,58.71,59,99,8.23
303,bemidji,47.4736,-94.8803,37.51,81,0,4.61
304,magadan,59.5667,150.8,22.53,54,0,3.2
305,redlands,34.0556,-117.1825,58.96,69,71,3.0
306,verkhnevilyuysk,63.4453,120.3167,24.48,85,100,2.98
307,necochea,-38.5473,-58.7368,52.18,86,12,10.56
308,alta,69.9689,23.2717,33.06,86,100,24.16
309,waipawa,-41.4122,175.5153,63.12,71,100,11.56
310,flinders,-34.5833,150.8552,70.03,69,100,7.0
311,chara,56.9064,118.2631,19.83,68,34,2.8
312,chumikan,54.7183,135.315,28.36,92,100,18.45
313,gao,16.6362,1.637,81.0,10,19,5.79
314,baneh,35.9975,45.8853,52.83,30,32,7.65
315,mecca,21.4267,39.8261,79.66,33,0,1.21
316,murgab,37.4966,61.9714,57.07,77,5,4.61
317,tura,25.5198,90.2201,73.06,84,100,3.24
318,bobota,47.3833,22.7667,33.08,76,84,2.66
319,kununurra,-15.7667,128.7333,96.78,21,76,5.75
320,praia da vitoria,38.7333,-27.0667,61.05,94,75,8.72
321,siyabuswa,-25.1132,29.0445,60.26,85,4,1.77
322,vardo,70.3705,31.1107,34.36,83,95,13.6
323,chornobay,49.6708,32.3239,38.88,88,100,22.53
324,shingu,33.7333,135.9833,69.71,64,0,6.22
325,kloulklubed,7.0419,134.2556,83.17,83,34,23.6
326,jiaojiang,28.6803,121.4428,78.01,71,21,5.66
327,tongliao,43.6125,122.2653,50.97,23,25,9.31
328,tarsus,36.9188,34.8784,51.67,63,0,2.68
329,iqaluit,63.7506,-68.5145,9.7,92,75,4.61
330,deputatskiy,69.3,139.9,12.96,69,100,1.66
331,diego de almagro,-26.3667,-70.05,56.34,55,0,0.78
332,pisco,-13.7,-76.2167,64.45,82,0,17.27
333,cherskiy,68.75,161.3,7.14,74,9,7.94
334,sambava,-14.2667,50.1667,74.44,87,39,12.35
335,cedar city,37.6775,-113.0619,56.39,30,58,23.31
336,bhatgaon,21.15,81.7,80.78,69,30,2.3
337,port-gentil,-0.7193,8.7815,80.37,84,99,8.59
338,arcachon,44.5875,-1.0519,51.85,82,0,3.44
339,nanortalik,60.1432,-45.2371,31.1,73,84,10.36
340,port augusta,-32.5,137.7667,86.11,27,12,9.95
341,wildomar,33.5989,-117.28,58.08,65,0,14.97
342,telimele,10.9167,-13.3333,68.88,77,27,2.33
343,belmonte,-15.8631,-38.8828,78.24,75,73,3.91
344,dudinka,69.4058,86.1778,15.62,92,100,14.88
345,flin flon,54.7682,-101.865,24.13,91,100,9.48
346,kahramanmaras,38.0,37.0,37.89,84,93,5.03
347,tocopilla,-22.092,-70.1979,64.27,69,27,7.7
348,kisangani,0.5167,25.2,67.33,93,45,0.96
349,gunnedah,-30.9833,150.25,77.74,48,5,7.81
350,alice springs,-23.7,133.8833,94.55,16,6,16.11
351,lavrentiya,65.5833,-171.0,28.13,88,100,12.08
352,kindu,-2.95,25.95,68.05,99,99,0.27
353,westminster,39.8367,-105.0372,57.6,24,75,9.22
354,bonavista,48.6499,-53.1147,31.91,96,100,38.52
355,fasa,28.9383,53.6482,58.24,25,0,0.0
356,arman,59.7,150.1667,23.02,59,0,3.65
357,fort nelson,58.8053,-122.7002,18.99,42,75,12.66
358,mahibadhoo,3.7833,72.9667,84.25,70,46,10.4
359,alem paraiba,-21.8878,-42.7044,69.24,95,3,1.83
360,mehamn,71.0357,27.8492,30.85,99,100,5.88
361,bardiyah,31.7561,25.0865,56.34,69,3,9.66
362,dong hoi,17.4833,106.6,79.21,75,39,3.4
363,mana,5.6592,-53.7767,76.71,89,93,9.98
364,meulaboh,4.1363,96.1285,79.52,80,30,3.6
365,houma,29.5958,-90.7195,70.12,87,0,10.36
366,muriwai beach,-36.8167,174.45,69.51,72,100,9.42
367,cabatuan,10.8794,122.486,75.36,94,100,2.42
368,harper,4.375,-7.7169,79.68,87,100,6.29
369,thompson,55.7435,-97.8558,30.36,64,100,6.91
370,vanimo,-2.6741,141.3028,87.06,63,74,9.15
371,sao jose da coroa grande,-8.8978,-35.1478,77.47,75,100,3.51
372,ludvika,60.1496,15.1878,31.39,92,96,3.11
373,panjab,34.388,67.0233,48.16,32,37,1.25
374,baruun-urt,46.6806,113.2792,37.58,29,100,1.48
375,babusnica,43.0597,22.4117,32.97,77,4,2.06
376,porto novo,6.4965,2.6036,84.02,87,33,5.59
377,guanica,17.9716,-66.908,75.72,83,80,3.58
378,bethanien,-26.502,17.1583,64.98,37,0,5.91
379,beringovskiy,63.05,179.3167,27.41,87,100,12.44
380,povrly,50.6728,14.1603,40.6,72,18,3.06
381,nuevo laredo,27.4763,-99.5164,84.27,49,100,17.29
382,podor,16.6527,-14.9587,75.29,43,18,11.48
383,nouadhibou,20.931,-17.0347,64.38,82,97,20.71
384,lewistown,40.5992,-77.5714,51.13,100,75,0.0
385,mount isa,-20.7333,139.5,92.97,26,74,17.27
386,ouegoa,-20.35,164.4333,84.22,64,33,4.29
387,cristalina,-16.7686,-47.6136,65.66,88,88,1.3
388,port hardy,50.6996,-127.4199,48.38,40,20,12.66
389,floro,61.5996,5.0328,35.56,75,100,6.91
390,hovd,48.0056,91.6419,32.25,31,8,1.23
391,awjilah,29.1081,21.2869,58.19,46,0,10.89
392,nokaneng,-19.6667,22.2667,72.03,61,98,4.32
393,marsa matruh,31.3525,27.2453,59.2,63,20,10.36
394,skibbereen,51.55,-9.2667,52.11,97,84,9.24
395,sorland,67.667,12.6934,39.74,76,45,4.45
396,rundu,-17.9333,19.7667,67.39,70,100,3.27
397,kilindoni,-7.9139,39.6668,81.86,78,100,15.86
398,matay,28.419,30.7792,56.57,66,0,16.24
399,blagoyevo,63.3667,47.9167,33.24,100,100,1.19
400,vanavara,60.34,102.2797,28.85,74,78,1.81
401,igarka,67.4667,86.5833,14.16,91,100,12.17
402,fukuma,33.7667,130.4667,72.55,71,3,5.3
403,broome,42.2506,-75.833,49.66,74,100,7.0
404,mocuba,-16.8392,36.9856,69.69,98,21,2.39
405,henties bay,-22.116,14.2845,62.94,83,0,4.0
406,le passage,44.2014,0.6028,57.24,62,0,14.97
407,khawhai,23.3667,93.1167,66.49,65,0,2.1
408,tulsipur,28.131,82.2973,82.31,34,88,3.15
409,thunder bay,48.4001,-89.3168,44.51,45,40,8.05
410,soyo,-6.1349,12.3689,77.09,88,97,4.34
411,barrhead,55.7992,-4.3929,43.86,86,75,14.97
412,el sauzal,31.9,-116.6833,60.42,77,56,10.18
413,carberry,49.8689,-99.3602,28.63,71,32,8.32
414,santa paula,34.3542,-119.0593,61.97,70,13,3.0
415,sidi ali,36.0998,0.4206,56.95,89,94,11.72
416,boddam,57.4667,-1.7833,42.69,86,100,23.98
417,matam,15.6175,-13.3303,86.95,15,4,11.81
418,rudbar,30.15,62.6,72.43,15,17,7.09
419,kysyl-syr,63.8986,122.7617,22.32,91,100,1.92
420,domanivka,47.6319,30.9885,41.79,61,100,20.62
421,kamariotissa,40.4833,25.4667,52.45,57,100,6.26
422,rovaniemi,66.5,25.7167,29.61,100,75,4.61
423,san carlos de bariloche,-41.1456,-71.3082,44.35,81,75,20.71
424,paamiut,61.994,-49.6678,26.13,74,100,6.29
425,petropavlovsk-kamchatskiy,53.0452,158.6483,41.59,42,20,13.42
426,camana,-16.6228,-72.7111,67.1,80,89,6.62
427,narathiwat,6.3333,101.75,78.93,76,53,0.89
428,whitianga,-36.8333,175.7,65.7,83,100,9.48
429,port lincoln,-34.7333,135.8667,64.94,67,100,13.33
430,narsaq,60.9167,-46.05,30.52,51,58,13.06
431,hastings,50.8552,0.5729,50.25,71,100,8.41
432,tyukhtet,56.5389,89.3011,28.51,88,100,6.2
433,kaeo,-35.1,173.7833,65.32,90,100,17.07
434,saint-pierre,-21.3393,55.4781,72.55,92,100,20.71
435,da nang,16.0678,108.2208,80.58,78,40,3.44
436,touros,-5.1989,-35.4608,79.11,76,100,8.34
437,bada,51.392,109.8717,34.5,55,100,4.12
438,gorom-gorom,14.4439,-0.2361,84.06,11,35,4.27
439,canto do buriti,-8.11,-42.9444,74.71,78,48,2.13
440,kangaatsiaq,68.3065,-53.4641,18.14,83,99,5.68
441,comodoro rivadavia,-45.8667,-67.5,51.66,66,100,18.41
442,bubaque,11.2833,-15.8333,74.75,75,9,11.77
443,leh,34.1667,77.5833,34.56,57,100,2.71
444,bischofsheim,49.9939,8.3672,45.1,73,0,8.05
445,tshikapa,-6.4167,20.8,70.07,91,100,1.63
446,moberly,39.4184,-92.4382,52.41,54,0,4.61
447,srednekolymsk,67.45,153.6833,15.39,70,17,6.4
448,galveston,29.3669,-94.9669,74.01,87,100,13.8
449,salcedo,12.8105,121.4674,73.47,87,100,2.64
450,erenhot,43.6475,111.9767,41.94,28,6,6.24
451,stephenville,32.2207,-98.2023,77.94,62,40,9.22
452,luocheng,29.3848,104.0286,68.27,65,100,3.8
453,wasilla,61.5814,-149.4394,43.52,72,55,1.12
454,panama city,8.9936,-79.5197,79.68,76,20,9.22
455,suez,29.9737,32.5263,55.85,74,0,8.57
456,baherden,38.4362,57.4316,64.74,49,15,7.83
457,kearney,40.6995,-99.0815,54.3,28,8,10.0
458,kawalu,-7.3817,108.2082,80.98,73,6,2.77
459,badou,7.5833,0.6,75.07,80,100,3.36
460,bara,10.3744,10.7288,87.62,32,96,3.0
461,egvekinot,66.3167,-179.1667,6.31,84,100,12.77
462,san miguel,13.4833,-88.1833,84.81,57,100,3.02
463,hambantota,6.1241,81.1185,75.54,100,20,1.14
464,kandrian,-6.2167,149.55,86.72,64,35,5.97
465,faanui,-16.4833,-151.75,81.84,73,21,12.77
466,nizwa,22.9333,57.5333,78.46,12,0,6.35
467,reserva,-24.6503,-50.8506,62.65,99,53,2.15
468,uptar,59.75,150.9167,16.83,54,0,4.0
469,ko samui,9.5357,99.9357,84.11,79,74,0.0
470,ponta delgada,37.7333,-25.6667,61.52,94,75,12.66
471,kismayo,-0.3582,42.5454,81.39,83,94,11.18
